@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute bass_x numeric
@attribute bass_y numeric
@attribute bass_vel_x numeric
@attribute bass_vel_y numeric
@attribute drone_x numeric
@attribute drone_y numeric
@attribute drone_vel_x numeric
@attribute drone_vel_y numeric
@attribute drums_x numeric
@attribute drums_y numeric
@attribute drums_vel_x numeric
@attribute drums_vel_y numeric
@attribute BassNoteClassifier {0,1,2,3,4,5}
@attribute BassXY numeric
@attribute BassVel numeric
@attribute BassFollow numeric
@attribute DroneNoteClassifier {0,1,2,3,4}
@attribute DroneXY numeric
@attribute DroneVel numeric
@attribute DroneFollow numeric
@attribute KickNoteClassifier {0,1,2,3,4,5}
@attribute SnareNoteClassifier {0,1,2,3,4,5}
@attribute HihatNoteClassifier {0,1,2,3,4,5}
@attribute SnareXY numeric
@attribute SnareVel numeric
@attribute HihatXY numeric
@attribute HihatVel numeric
@attribute DrumPitch numeric

@data
121,'2018/04/29 13:13:24:550',2,0.5,0.5,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
122,'2018/04/29 13:13:24:666',2,0.5,0.5,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
123,'2018/04/29 13:13:24:782',2,0.5,0.5,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
124,'2018/04/29 13:13:24:898',2,0.5,0.5,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
125,'2018/04/29 13:13:25:014',2,0.5,0.5,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
126,'2018/04/29 13:13:25:130',2,0.5,0.5,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
127,'2018/04/29 13:13:25:246',2,0.5,0.5,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
128,'2018/04/29 13:13:25:362',2,0.5,0.5,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
129,'2018/04/29 13:13:25:478',2,0.5,0.5,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
130,'2018/04/29 13:13:25:594',2,0.5,0.5,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
131,'2018/04/29 13:13:25:710',2,0.5,0.474403,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
132,'2018/04/29 13:13:25:811',2,0.5,0.435435,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
133,'2018/04/29 13:13:25:927',2,0.5,0.430318,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
134,'2018/04/29 13:13:26:044',2,0.5,0.430019,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
135,'2018/04/29 13:13:26:160',2,0.5,0.430001,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
